1,1,wow loved this place
2,0,crust is not good
3,0,not tasty and the texture was just nasty
4,1,stopped by during the late may bank holiday off rick steve recommendation and loved it
5,1,the selection on the menu was great and so were the prices
6,0,now i am getting angry and i want my damn pho
7,0,honeslty it didnt taste that fresh
8,0,the potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer
9,1,the fries were great too
10,1,a great touch
11,1,service was very prompt
12,0,would not go back
13,0,the cashier had no care what so ever on what i had to say it still ended up being wayy overpriced
14,1,i tried the cape cod ravoli chicken with cranberry mm
15,0,i was disgusted because i was pretty sure that was human hair
16,0,i was shocked because no signs indicate cash only
17,1,highly recommended
18,0,waitress was a little slow in service
19,0,this place is not worth your time let alone vegas
20,0,did not like at all
21,0,the burrittos blah
22,1,the food amazing
23,1,service is also cute
24,1,i could care less the interior is just beautiful
25,1,so they performed
26,1,thats right the red velvet cake ohh this stuff is so good
27,0,name
28,1,this hole in the wall has great mexican street tacos and friendly staff
29,0,took an hour to get our food only tables in restaurant my food was luke warm our sever was running around like he was totally overwhelmed
30,0,the worst was the salmon sashimi
31,1,also there are combos like a burger fries and beer for which is a decent deal
32,0,this was like the final blow
33,1,i found this place by accident and i could not be happier
34,0,seems like a good quick place to grab a bite of some familiar pub food but do yourself a favor and look elsewhere
35,1,overall i like this place a lot
36,1,the only redeeming quality of the restaurant was that it was very inexpensive
37,1,ample portions and good prices
38,0,poor service the waiter made me feel like i was stupid every time he came to the table
39,1,my first visit to hiro was a delight
40,0,service sucks
41,1,the shrimp tender and moist
42,0,there is not a deal good enough that would drag me into that establishment again
43,0,hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didnt want to eat it for fear of getting sick
44,1,on a positive note our server was very attentive and provided great service
45,0,frozen pucks of disgust with some of the worst people behind the register
46,1,the only thing i did like was the prime rib and dessert section
47,0,its too bad the food is so damn generic
48,1,the burger is good beef cooked just right
49,1,if you want a sandwich just go to any firehouse
50,1,my side greek salad with the greek dressing was so tasty and the pita and hummus was very refreshing
51,1,we ordered the duck rare and it was pink and tender on the inside with a nice char on the outside
52,1,he came running after us when he realized my husband had left his sunglasses on the table
53,1,their chow mein is so good
54,0,they have horrible attitudes towards customers and talk down to each one when customers dont enjoy their food
55,1,the portion was huge
56,1,loved it friendly servers great food wonderful and imaginative menu
57,0,the heart attack grill in downtown vegas is an absolutely flatlined excuse for a restaurant
58,0,not much seafood and like strings of pasta at the bottom
59,1,the salad had just the right amount of sauce to not over power the scallop which was perfectly cooked
60,0,the ripped banana was not only ripped but petrified and tasteless
61,0,at least think to refill my water before i struggle to wave you over for minutes
62,1,this place receives stars for their appetizers
63,1,the cocktails are all handmade and delicious
64,1,wed definitely go back here again
65,1,we are so glad we found this place
66,1,great food and service huge portions and they give a military discount
67,1,always a great time at dos gringos
68,1,update went back for a second time and it was still just as amazing
69,0,we got the food and apparently they have never heard of salt and the batter on the fish was chewy
70,1,a great way to finish a great
71,1,the deal included tastings and drinks and jeff went above and beyond what we expected
72,1,name
73,0,the service was meh
74,0,it took over min to get their milkshake which was nothing more than chocolate milk
75,0,i guess i should have known that this place would suck because it is inside of the excalibur but i didnt use my common sense
76,0,the scallop dish is quite appalling for value as well
77,0,times very bad customer service
78,1,the sweet potato fries were very good and seasoned well
79,1,today is the second time ive been to their lunch buffet and it was pretty good
80,0,there is so much good food in vegas that i feel cheated for wasting an eating opportunity by going to rice and company
81,0,coming here is like experiencing an underwhelming relationship where both parties cant wait for the other person to ask to break up
