1,1,Wow... Loved this place.
2,0,Crust is not good.
3,0,Not tasty and the texture was just nasty.
4,1,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.
5,1,The selection on the menu was great and so were the prices.
6,0,Now I am getting angry and I want my damn pho.
7,0,Honeslty it didn't taste THAT fresh.)
8,0,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.
9,1,The fries were great too.
10,1,A great touch.
11,1,Service was very prompt.
12,0,Would not go back.
13,0,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.
14,1,"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!"
15,0,I was disgusted because I was pretty sure that was human hair.
16,0,I was shocked because no signs indicate cash only.
17,1,Highly recommended.
18,0,Waitress was a little slow in service.
19,0,"This place is not worth your time, let alone Vegas."
20,0,did not like at all.
21,0,The Burrittos Blah!
22,1,"The food, amazing."
23,1,Service is also cute.
24,1,I could care less... The interior is just beautiful.
25,1,So they performed.
26,1,That's right....the red velvet cake.....ohhh this stuff is so good.
27,0,#NAME?
28,1,"This hole in the wall has great Mexican street tacos, and friendly staff."
29,0,"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed."
30,0,The worst was the salmon sashimi.
31,1,"Also there are combos like a burger, fries, and beer for 23 which is a decent deal."
32,0,This was like the final blow!
33,1,I found this place by accident and I could not be happier.
34,0,"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere."
35,1,"Overall, I like this place a lot."
36,1,The only redeeming quality of the restaurant was that it was very inexpensive.
37,1,Ample portions and good prices.
38,0,"Poor service, the waiter made me feel like I was stupid every time he came to the table."
39,1,My first visit to Hiro was a delight!
40,0,Service sucks.
41,1,The shrimp tender and moist.
42,0,There is not a deal good enough that would drag me into that establishment again.
43,0,Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.
44,1,"On a positive note, our server was very attentive and provided great service."
45,0,"Frozen pucks of disgust, with some of the worst people behind the register."
46,1,The only thing I did like was the prime rib and dessert section.
47,0,It's too bad the food is so damn generic.
48,1,"The burger is good beef, cooked just right."
49,1,If you want a sandwich just go to any Firehouse!!!!!
50,1,"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing."
51,1,We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.
52,1,He came running after us when he realized my husband had left his sunglasses on the table.
53,1,Their chow mein is so good!
54,0,"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food."
55,1,The portion was huge!
56,1,"Loved it...friendly servers, great food, wonderful and imaginative menu."
57,0,The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.
58,0,Not much seafood and like 5 strings of pasta at the bottom.
59,1,"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked."
60,0,"The ripped banana was not only ripped, but petrified and tasteless."
61,0,At least think to refill my water before I struggle to wave you over for 10 minutes.
62,1,This place receives stars for their APPETIZERS!!!
63,1,The cocktails are all handmade and delicious.
64,1,We'd definitely go back here again.
65,1,We are so glad we found this place.
66,1,"Great food and service, huge portions and they give a military discount."
67,1,Always a great time at Dos Gringos!
68,1,Update.....went back for a second time and it was still just as amazing
69,0,We got the food and apparently they have never heard of salt and the batter on the fish was chewy.
70,1,A great way to finish a great.
71,1,"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected."
72,1,#NAME?
73,0,The service was meh.
74,0,"It took over 30 min to get their milkshake, which was nothing more than chocolate milk."
